"","Team","Athlete","Score","Remark","Sex","Group","Form"
"1","RUS","Tatiana SHURMISTROVA",9.05,"1st Category Prize","W","Group C"," Traditional Chen Style Taijiquan"
"2","GEO","NINO CHIKHLADZE",9.04,"2nd Category Prize","W","Group C"," Traditional Chen Style Taijiquan"
"3","FRA","NGUYEN Diana",9.03,"2nd Category Prize","W","Group C"," Traditional Chen Style Taijiquan"
"4","JPN","YOKO NAKATA",8.89,"3rd Category Prize","W","Group C"," Traditional Chen Style Taijiquan"
"5","ITA","Stefania GAVIANO",8.88,"3rd Category Prize","W","Group C"," Traditional Chen Style Taijiquan"
"6","AUS","Krista Brennan",8.87,"3rd Category Prize","W","Group C"," Traditional Chen Style Taijiquan"
"7","GER","Anke Zhang",8.86,"","W","Group C"," Traditional Chen Style Taijiquan"
"8","POL","Anna Kubiak",8.85,"","W","Group C"," Traditional Chen Style Taijiquan"
"9","CZE","Jana Neradova",8.81,"","W","Group C"," Traditional Chen Style Taijiquan"
"10","RSA","Tarina LUYT",8.8,"","W","Group C"," Traditional Chen Style Taijiquan"
"11","EGY","Hesham Nabil Abdelnabi Mohamed",9.15,"1st Category Prize","M","Group C"," Traditional Chen Style Taijiquan"
"12","EGY","Mohamed nagi Ali Mohamed",9.05,"2nd Category Prize","M","Group C"," Traditional Chen Style Taijiquan"
"13","ROU","Claudiu Mihaila",9.01,"2nd Category Prize","M","Group C"," Traditional Chen Style Taijiquan"
"14","MAC","LI SHAOYUE",9,"3rd Category Prize","M","Group C"," Traditional Chen Style Taijiquan"
"15","CZE","Jiri Hauska",8.99,"3rd Category Prize","M","Group C"," Traditional Chen Style Taijiquan"
"16","ITA","Gianluigi BISONI",8.98,"3rd Category Prize","M","Group C"," Traditional Chen Style Taijiquan"
"17","JPN","TOMOHIRO NAKATA",8.95,"","M","Group C"," Traditional Chen Style Taijiquan"
"18","FRA","CONTOZ Eudes",8.91,"","M","Group C"," Traditional Chen Style Taijiquan"
"19","USA","Cheng ZHANG",8.87,"","M","Group C"," Traditional Chen Style Taijiquan"
"20","JPN","TSUTOMU KOBUKI",8.78,"","M","Group C"," Traditional Chen Style Taijiquan"
"21","GER","Marc Koesling",8.73,"","M","Group C"," Traditional Chen Style Taijiquan"
"22","JPN","YU NAKAGAWA",9.08,"1st Category Prize","W","Group D"," Traditional Chen Style Taijiquan"
"23","CAN","Yee Yat-Kwan",8.97,"2nd Category Prize","W","Group D"," Traditional Chen Style Taijiquan"
"24","USA","Ping WU",8.95,"2nd Category Prize","W","Group D"," Traditional Chen Style Taijiquan"
"25","RUS","Antonina IVANOVA",8.91,"3rd Category Prize","W","Group D"," Traditional Chen Style Taijiquan"
"26","RSA","Daniela CHRYSOSTOMOU",8.9,"3rd Category Prize","W","Group D"," Traditional Chen Style Taijiquan"
"27","JPN","MAMI HAYASAKI",8.89,"3rd Category Prize","W","Group D"," Traditional Chen Style Taijiquan"
"28","FRA","VIGNON Roxane",8.84,"","W","Group D"," Traditional Chen Style Taijiquan"
"29","JPN","MINA KAMIYOSHI",8.81,"","W","Group D"," Traditional Chen Style Taijiquan"
"30","HKG","LUK Cheung Fung Grendy",8.75,"","W","Group D"," Traditional Chen Style Taijiquan"
"31","JPN","KAGARI YAMAMOTO",8.68,"","W","Group D"," Traditional Chen Style Taijiquan"
"32","CHN","ZHU XIANGHUA",9.35,"1st Category Prize","M","Group D"," Traditional Chen Style Taijiquan"
"33","IRI","saeed atazadeh",9.11,"1st Category Prize","M","Group D"," Traditional Chen Style Taijiquan"
"34","AUS","Sherman Shu Hang Mak",9.1,"2nd Category Prize","M","Group D"," Traditional Chen Style Taijiquan"
"35","JPN","KOURIN JO",9.1,"2nd Category Prize","M","Group D"," Traditional Chen Style Taijiquan"
"36","JPN","YASUYOSHI KAMIYOSHI",9.09,"2nd Category Prize","M","Group D"," Traditional Chen Style Taijiquan"
"37","JPN","HITOSHI SHINAGAWA",9.08,"2nd Category Prize","M","Group D"," Traditional Chen Style Taijiquan"
"38","ITA","Giuseppe PATERNITI",9.05,"3rd Category Prize","M","Group D"," Traditional Chen Style Taijiquan"
"39","RUS","Eduard KURCHENKO",9,"3rd Category Prize","M","Group D"," Traditional Chen Style Taijiquan"
"40","RUS","Edgar TOBUKOV",9,"3rd Category Prize","M","Group D"," Traditional Chen Style Taijiquan"
"41","GEO","LASHA SUMBULASHVILI",8.99,"3rd Category Prize","M","Group D"," Traditional Chen Style Taijiquan"
"42","RUS","Vasily SAMSONOV",8.99,"3rd Category Prize","M","Group D"," Traditional Chen Style Taijiquan"
"43","HKG","LAW Wah Tak",8.99,"3rd Category Prize","M","Group D"," Traditional Chen Style Taijiquan"
"44","GER","Ruediger Gruetz",8.94,"","M","Group D"," Traditional Chen Style Taijiquan"
"45","JPN","MITSUAKI HIGO",8.92,"","M","Group D"," Traditional Chen Style Taijiquan"
"46","USA","Quang UONG",8.9,"","M","Group D"," Traditional Chen Style Taijiquan"
"47","AUS","Desmond Chung",8.9,"","M","Group D"," Traditional Chen Style Taijiquan"
"48","USA","Sze Yen LIN",8.82,"","M","Group D"," Traditional Chen Style Taijiquan"
"49","USA","Qiyue ZHANG",8.78,"","M","Group D"," Traditional Chen Style Taijiquan"
"50","JPN","KAZUKO YONEMOTO",9.1,"1st Category Prize","W","Group E"," Traditional Chen Style Taijiquan"
"51","JPN","MICHIKO KAMATA",9,"1st Category Prize","W","Group E"," Traditional Chen Style Taijiquan"
"52","JPN","HIROMI TAKAHASHI",8.99,"2nd Category Prize","W","Group E"," Traditional Chen Style Taijiquan"
"53","MAC","WONG WA MUI",8.98,"2nd Category Prize","W","Group E"," Traditional Chen Style Taijiquan"
"54","USA","Yoshiko ROUDPEYMA",8.92,"3rd Category Prize","W","Group E"," Traditional Chen Style Taijiquan"
"55","RSA","Candace Jane MC CARDLE",8.88,"3rd Category Prize","W","Group E"," Traditional Chen Style Taijiquan"
"56","USA","Kathleen SIDENBLAD",8.83,"3rd Category Prize","W","Group E"," Traditional Chen Style Taijiquan"
"57","USA","Lisa CHEUNG",8.82,"","W","Group E"," Traditional Chen Style Taijiquan"
"58","USA","Oi Lai YAM",8.79,"","W","Group E"," Traditional Chen Style Taijiquan"
"59","HKG","TAN Jiayi",8.95,"1st Category Prize","W","Group B"," Traditional Yang Style Taijiquan"
"60","EGY","Sara Salah Mohamed Ahmed",8.83,"2nd Category Prize","W","Group B"," Traditional Yang Style Taijiquan"
"61","EGY","Nour Mohamed Ibrahim Mohamed",8.8,"3rd Category Prize","W","Group B"," Traditional Yang Style Taijiquan"
"62","USA","Audrey YUNG",8.7,"3rd Category Prize","W","Group B"," Traditional Yang Style Taijiquan"
"63","ITA","Eleonora MOCCI",8.66,"","W","Group B"," Traditional Yang Style Taijiquan"
"64","IRI","zahra rouhi",8.58,"","W","Group B"," Traditional Yang Style Taijiquan"
"65","FRA","TROLEZ Camille",8.53,"","W","Group B"," Traditional Yang Style Taijiquan"
"66","HKG","WONG Wing Yan Josephine",9.06,"1st Category Prize","W","Group C"," Traditional Yang Style Taijiquan"
"67","EGY","Salma Salah Mohamed Ahmed",9.02,"1st Category Prize","W","Group C"," Traditional Yang Style Taijiquan"
"68","ROU","Apostolache Kiss Andrea",9.01,"2nd Category Prize","W","Group C"," Traditional Yang Style Taijiquan"
"69","MAC","IAO HOI MAN",9,"2nd Category Prize","W","Group C"," Traditional Yang Style Taijiquan"
"70","HKG","YEUNG Debbie",8.97,"2nd Category Prize","W","Group C"," Traditional Yang Style Taijiquan"
"71","ROU","Grindeanu Sonia",8.95,"3rd Category Prize","W","Group C"," Traditional Yang Style Taijiquan"
"72","KAZ","Sanatkyzy Anel",8.91,"3rd Category Prize","W","Group C"," Traditional Yang Style Taijiquan"
"73","UKR","Hanna Mandrik",8.86,"3rd Category Prize","W","Group C"," Traditional Yang Style Taijiquan"
"74","COL","MONICA CRUZ SANCHEZ",8.85,"3rd Category Prize","W","Group C"," Traditional Yang Style Taijiquan"
"75","JPN","TOMOKO KATO",8.81,"3rd Category Prize","W","Group C"," Traditional Yang Style Taijiquan"
"76","ITA","Alessia POMES",8.79,"","W","Group C"," Traditional Yang Style Taijiquan"
"77","ITA","Valentina FERRU",8.79,"","W","Group C"," Traditional Yang Style Taijiquan"
"78","ESP","ALBA NINO GONZALEZ",8.75,"","W","Group C"," Traditional Yang Style Taijiquan"
"79","MEX","Pamela GUILLEN",8.74,"","W","Group C"," Traditional Yang Style Taijiquan"
"80","FRA","GHOREISHI Shohreh",8.71,"","W","Group C"," Traditional Yang Style Taijiquan"
"81","BRA","Lenise Varanda CEZARETTO",8.66,"","W","Group C"," Traditional Yang Style Taijiquan"
"82","BOL","Maya Huanacuni Baldivieso",8.56,"","W","Group C"," Traditional Yang Style Taijiquan"
"83","HKG","YEUNG Chung Hei",9.06,"1st Category Prize","M","Group C"," Traditional Yang Style Taijiquan"
"84","KAZ","Yedilbayev Askarbay",8.99,"2nd Category Prize","M","Group C"," Traditional Yang Style Taijiquan"
"85","ITA","Simone MANGIANTE",8.96,"2nd Category Prize","M","Group C"," Traditional Yang Style Taijiquan"
"86","RUS","Vasilii KISLITCYN",8.94,"3rd Category Prize","M","Group C"," Traditional Yang Style Taijiquan"
"87","AUS","Mitchell Brown",8.92,"3rd Category Prize","M","Group C"," Traditional Yang Style Taijiquan"
"88","MAC","WONG IOK LAM",8.89,"3rd Category Prize","M","Group C"," Traditional Yang Style Taijiquan"
"89","AUS","Gerard Donohoe",8.86,"","M","Group C"," Traditional Yang Style Taijiquan"
"90","HKG","SO King Ho",8.8,"","M","Group C"," Traditional Yang Style Taijiquan"
"91","IRI","shahriar ghasemipour nikbin",8.79,"","M","Group C"," Traditional Yang Style Taijiquan"
"92","FRA","REYNIER Martin",8.73,"","M","Group C"," Traditional Yang Style Taijiquan"
"93","KUW","Fahd A ALAJMI",8.72,"","M","Group C"," Traditional Yang Style Taijiquan"
"94","USA","Xue Ming HUIE",9.2,"1st Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"95","KGZ","Natalia NESHCHERET",9.1,"1st Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"96","USA","Haojie WU",9.01,"1st Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"97","HKG","SENG Choa Ee Tricia",8.98,"1st Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"98","HKG","LAU Sum Wing",8.98,"1st Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"99","HKG","CHENG Hsueh Chih",8.94,"2nd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"100","HKG","NG Kit Yee",8.93,"2nd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"101","HKG","LI So Ling Christina",8.91,"2nd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"102","HKG","PANG Yuk Mui",8.9,"2nd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"103","USA","Shiqiong Susan YOUNG",8.9,"2nd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"104","ROU","Vladut Roxana Ileana",8.86,"2nd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"105","HKG","YAN Hiu Kwan",8.85,"2nd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"106","AUS","Sally Yanhui Lin",8.85,"2nd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"107","AUS","May Gao",8.83,"3rd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"108","HKG","YOO Hwa Soo",8.82,"3rd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"109","HKG","CHAN Yuen Kwan",8.82,"3rd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"110","MAC","WONG WUN U",8.82,"3rd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"111","HKG","YUNG Sin Yee Cynthia",8.81,"3rd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"112","AUS","Cheryl Sam Toi",8.81,"3rd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"113","NZL","Diana Kam Yoke Lau",8.8,"3rd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"114","JPN","CHIAKI MARUOKA",8.79,"3rd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"115","RUS","Tatiana IUREVA",8.79,"3rd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"116","HKG","LAU Kit Ming Tammy",8.78,"3rd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"117","HKG","LEUNG Yuen Nga Barbara",8.78,"3rd Category Prize","W","Group D"," Traditional Yang Style Taijiquan"
"118","HKG","KONG Yee Wan",8.77,"","W","Group D"," Traditional Yang Style Taijiquan"
"119","AUS","Angela Jia Li Mak",8.77,"","W","Group D"," Traditional Yang Style Taijiquan"
"120","POL","Ewa Mechelewska",8.76,"","W","Group D"," Traditional Yang Style Taijiquan"
"121","HKG","NG Lai Ling Maggie",8.75,"","W","Group D"," Traditional Yang Style Taijiquan"
"122","HKG","CHOW Wan Ming Mary",8.74,"","W","Group D"," Traditional Yang Style Taijiquan"
"123","HKG","CHIH Ellen",8.74,"","W","Group D"," Traditional Yang Style Taijiquan"
"124","HKG","NG Shiow Lan Liza",8.72,"","W","Group D"," Traditional Yang Style Taijiquan"
"125","HKG","BALEROS Henriette Patricia",8.71,"","W","Group D"," Traditional Yang Style Taijiquan"
"126","HKG","CHAN Sau Lan Cecilia",8.71,"","W","Group D"," Traditional Yang Style Taijiquan"
"127","RSA","Catharina Louisa Riana VAN COLLER",8.7,"","W","Group D"," Traditional Yang Style Taijiquan"
"128","JPN","YASUYO ATSUMI",8.7,"","W","Group D"," Traditional Yang Style Taijiquan"
"129","USA","Weihua JIANG",8.68,"","W","Group D"," Traditional Yang Style Taijiquan"
